ID,CourseName,Instructor,Building,Time
204 49060,地球構造,胡植慶,中庭大講堂,(三) 9:10~11:20
204 49070,地球化學原理(含實習),任昊佳,中庭大講堂,(三) 13:20~15:30
204 49090,地表作用與地形,徐澔德,中庭大講堂,(一) 10:20~11:20
204 49110,地質資源,羅清華,中庭大講堂,(四) 10:20~11:20
204 49360,化石,林日白,地質212,(一) 13:20~14:20
204 49390,認識海洋,任昊佳,地質212,(一) 10:20~11:20
207 10100-01,普通心理學,周泰立,新102 博雅103,(四) 10:20~11:20 (二) 11:20~11:20
207 10100-02,普通心理學,曹峰銘,新103,(二) 13:20~15:30
207 10100-03,普通心理學,曾祥非,博雅101,(四) 14:20~16:30
207 10100-04,普通心理學,謝伯讓,共101,(一) 13:20~15:30
207 10100-05,普通心理學,葉俊毅,共101,(三) 9:10~11:20
207 10100-06,普通心理學,陳品豪,博雅101,(五) 13:20~15:30
207 10100-07,普通心理學,羅達中,博雅101,(三) 15:30~17:30
207 10100-08,普通心理學,周珮雯,普101,(五) 14:20~16:30
207 10100-09,普通心理學,周珮雯,博雅101,(三) 9:10~11:20
207 10100-10,普通心理學,周珮雯,新102,(一) 14:20~16:30
207 10100-11,普通心理學,鄧善娟,普101,(二) 15:30~17:30
207 10100-12,普通心理學,裴如淳,博雅101,(一) 9:10~11:20
207 10100-13,普通心理學,汪芸涵,共301,(一) 9:10~11:20
207 10110-01,普通心理學討論課,周泰立,普306,(二) 12:20~12:20
207 10110-02,普通心理學討論課,周泰立,普402,(二) 12:20~12:20
207 10110-03,普通心理學討論課,周泰立,普202,(二) 12:20~12:20
207 10110-04,普通心理學討論課,周泰立,普201,(四) 12:20~12:20
207 10110-05,普通心理學討論課,周泰立,普202,(四) 12:20~12:20
207 10110-06,普通心理學討論課,周泰立,普205,(四) 12:20~12:20
207 10140,幸福與人生,周珮雯,博雅103,(一) 9:10~11:20
207 12301,心理統計學上,姚開屏,北館視聽,(五) 9:10~11:20
207 12301-02,心理統計學上,彭昭英,北館N206,(三) 13:20~15:30
207 21400,心理實驗法,郭柏呈,北館視聽,(二) 14:20~16:30
207 22300,心理測驗,姚開屏,北館視聽,(一) 13:20~14:20 (四) 13:20~13:20
207 22310,心理測驗實習,姚開屏,北館視聽,(四) 14:20~14:20
207 33300,生理心理學,賴文崧,北館視聽,(一) 9:10~11:20
207 34100,知覺心理學,葉素玲,北館視聽,(二) 9:10~11:20
207 37500,社會心理學,李怡青,普102,(二) 9:10~11:20
207 38300,變態心理學,林耀盛,共201,(四) 14:20~16:30
207 44370,青少年心理學,雷庚玲,新303,(五) 14:20~16:30
207 44380,青少年心理學實習,雷庚玲,新304,(五) 15:30~15:30
208 10650,人文地理學通論,簡旭伸,地理305,(四) 14:20~16:30
208 10850,自然地理學通論,莊昀叡,地理一教室,(五) 14:20~16:30
208 21400,地形學及實習,楊啟見,地理305,(一) 9:10~11:20
208 26610,統計學及實習,亞歷山卓,地理305 地理電腦室,(三) 14:20~16:30 (五) 13:20~14:20
208 26810,城鄉 、區域與發展,洪伯邑,地理一教室,(二) 14:20~16:30
208 26840,遙測學原理,黃倬英,地理305,(一) 14:20~16:30
208 39620,自然地理調查方法,李美慧,地理405,(五) 9:10~11:20
208 39630,人文地理調查方法,林楨家,地理二教室,(五) 9:10~11:20
208 39960,空間資料蒐集方法,莊昀叡,地理一教室,(五) 9:10~11:20
208 48400,環境資源保育經理及實習,莊振義,地理一教室,(三) 14:20~16:30
209 12400,大氣科學概論,吳俊傑,大氣B105,(二) 8:10~9:10
209 22210,統計與大氣科學,羅敏輝,大氣B105,(二) 10:20~11:20
209 26500,程式與科學計算,陳維婷,大氣B105,(一) 15:30~16:30
209 27140,大氣化學,洪惠敏,大氣A108 大氣B105,(二) 9:10~9:10 (五) 10:20~11:20
209 27160,應用數學一,梁禹喬,大氣B105,(一) 10:20~11:20 (三) 13:20~14:20
209 30120,大氣動力學二,郭鴻基,大氣B105,(一) 8:10~9:10 (三) 9:10~9:10
209 30310,天氣學一,楊明仁,大氣B105,(四) 10:20~11:20
209 32400,雲物理學,陳正平,大氣B105,(三) 10:20~11:20
209 40110,天氣學實習一,楊明仁,大氣B105,(五) 14:20~16:30
221 U0330,偏微分方程式一,陳俊全,天數305,(二) 15:30~16:30 (四) 13:20~13:20
221 U2870,實分析一,阮文先,天數101,(一) 10:20~11:20 (三) 10:20~11:20
221 U2930,微分幾何一,郭孝豪,天數305,(三) 14:20~14:20 (五) 10:20~11:20
221 U3410,機率論一,林偉傑,天數101,(二) 13:20~14:20 (四) 14:20~14:20
221 U3850-01,專題演講一,阮文先,天數202,(一) 13:20~14:20
221 U4210,數值線性代數,王偉仲,天數305,(四) 9:10~11:20
221 U4790,存活及遞迴性資料分析,江金倉,天數102,(四) 14:20~16:30
221 U5520,模形式導論,楊一帆,天數302,(五) 15:30~17:30
221 U5860,摩斯理論,蕭欽玉,天數201,(二) 13:20~15:30
221 U6140,近世代數一,林學庸,新304,(三) 13:20~14:20 (五) 13:20~14:20
221 U6520,代數一,林惠雯,天數101,(三) 13:20~14:20 (五) 13:20~15:30
221 U6540,分析一,沈俊嚴,天數102,(二) 9:10~11:20 (四) 10:20~11:20
221 U6560,複分析導論,莊武諺,新302,(二) 13:20~14:20 (四) 13:20~14:20
221 U6570,複分析,王金龍,天數304,(二) 13:20~14:20 (四) 13:20~14:20
221 U6580,幾何學導論,翁秉仁,新405,(三) 10:20~11:20 (五) 10:20~11:20
221 U8820,訊號處理和機器學習之數學基礎,黃文良,天數302,(四) 14:20~16:30
221 U9140,高維機率論,林偉傑,天數201,(五) 13:20~15:30
221 U9290,組合學進階專題,戴尚年,天數302,(五) 11:20~11:20
221 U9440,組合學進階專題一,戴尚年,天數201,(五) 10:20~11:20
221 U9460,李型有限群表示論,,天數201,(二) 9:10~11:20
222 D0070,高等專題討論一,蔡政達,楊金豹演講廳,(三) 14:20~15:30
222 D1210,實驗粒子物理,呂榮祥,新物517,(三) 9:10~11:20
222 D1430,量子力學三,侯維恕,新物716,(一) 10:20~11:20 (三) 10:20~11:20
222 D1620,統計物理二,林俊達,新物406,(二) 15:30~16:30 (三) 10:20~11:20
222 D1680,量子場論二,謝長澤,新物304,(三) 9:10~11:20
222 D3040,量子計算與資訊導論,管希聖,新物111,(四) 14:20~16:30
222 D3280,衍射光學與全像影像術,駱  遠,新物833,(五) 14:20~15:30
222 D3290,微波物理,朱國瑞,新物716,(五) 14:20~16:30
222 D3340,密度泛函理論,蔡政達,新物304,(一) 10:20~11:20
222 D3380,同步輻射與中子散射的基礎與應用,林敏聰,新物618,(五) 14:20~15:30
222 D3430,第一原理計算材料物理學,郭光宇,新物304,(一) 14:20~16:30
222 D3510,量子計算的應用場景,張慶瑞,楊金豹演講廳,(五) 14:20~15:30
222 D5061,量子力學上(國際學程),蔣正偉,新物618,(四) 14:20~16:30
222 D5500,廣義相對論,高涌泉,新物833,(一) 13:20~15:30
222 M0080,專題討論三,張寶棣,楊金豹演講廳,(二) 14:20~15:30
222 M0140,專題討論一,張寶棣,楊金豹演講廳,(四) 14:20~15:30
222 M1310-01,古典電力學一,王喬萱,楊金豹演講廳,(一) 13:20~14:20 (五) 10:20~11:20
222 M1310-02,古典電力學一,陳恆榆,新物833,(二) 10:20~11:20 (三) 10:20~11:20
222 M1410-01,量子力學一,陳政維,新物112,(二) 10:20~11:20 (四) 10:20~11:20
222 M1410-02,量子力學一,蔣正偉,新物111,(一) 15:30~16:30 (三) 15:30~16:30
222 M1720,固態物理導論,江正天,新物112,(一) 10:20~11:20 (五) 13:20~14:20
222 M1940,古典力學,黃宇廷,新物112,(二) 15:30~16:30 (四) 15:30~16:30
222 M2710,計算物理,高英哲,新物406,(一) 14:20~16:30
222 M6180,機器學習與多體物理,高英哲,新物618,(二) 9:10~11:20
222 M6190,生物物理導論,林耿慧,新物618,(三) 10:20~11:20
222 M6250,等效場論與散射幅度專題討論,沈家賢,新物204,(三) 9:10~11:20
222 U0610,粒子物理導論,王名儒,新物517,(四) 14:20~16:30
222 U2300,核天文物理介紹,王子方,新物833,(四) 16:30~17:30
223 M1130,高等分析化學一,鄭修偉,化121,(二) 10:20~11:20 (五) 9:10~9:10
223 M1240,高等有機化學二,詹益慈,化121,(一) 10:20~11:20 (五) 10:20~11:20
223 M1310,高等物理化學一,鄭原忠,化121,(二) 13:20~14:20 (四) 9:10~9:10
223 M1410,高等無機化學一,王朝諺,化121,(三) 9:10~11:20
223 M1660,高等化學生物學一,朱忠瀚,化121,(一) 13:20~14:20 (四) 13:20~14:20
223 M1710,進階化學論文寫作,方頡睿,化121,(二) 15:30~17:30
223 U0910,材料化學,劉如熹,化217,(四) 13:20~13:20 (五) 13:20~14:20
223 U1270,有機光譜特論,楊吉水,化210室,(三) 15:30~17:30
223 U1530,光電化學特論,姜昌明,化217,(一) 13:20~14:20
223 U2600,生物物理化學導論,李弘文,化217,(一) 10:20~11:20 雙週 (四) 10:20~11:20
223 U2630,生物分析化學,陳玉如,化210室,(二) 13:20~15:30
223 U2650,藥物設計與開發,林俊宏,化210室,(三) 13:20~14:20
224 U0090,東亞地體構造,羅清華,地質213,(四) 10:20~11:20
224 U1590,地質材料力學,陳麒文,地質212,(五) 15:30~16:30
224 U2270,地體構造書報討論,胡植慶,全變403,(五) 9:10~10:20
224 U2280,電腦計算基礎,洪淑蕙,全變403,(二) 9:10~11:20
224 U2400,程式設計於地球科學之運用,吳逸民,全變403,(一) 18:25~20:15
224 U2470,大陸岩石圈,曾泰琳,全變403,(二) 15:30~16:30
224 U2560,古湖泊學,施路易,地質315,(四) 10:20~11:20
224 U2830,地球化學分析與實務,朱美妃,地質313,(三) 13:20~14:20
224 U2860,水質化學,溫良碩,地質212,(四) 10:20~11:20
224 U2990,震波測勘 – 反射,郭陳澔,地質315,(四) 13:20~14:20
224 U3000,震波測勘 – 折射與表面波,郭陳澔,地質315,(二) 13:20~14:20
224 U3020,地震、地震波與地球構造,黃信樺,全變403,(五) 13:20~14:20
224 U3080,地質科學應用數學,龔源成,全變403,(三) 9:10~11:20
227 D0060,專題討論,,北館視聽,(三) 14:20~14:20
227 D0860,精神科臨床督導實習一,陳淑惠,南館S409,(二) 10:20~12:20
227 D2300,發展心理學專題一,雷庚玲,北館N221,(三) 16:30~18:25
227 D3550,高等臨床心理學五,陳淑惠,南館S409,(一) 13:20~15:30
227 D4000,高等臨床神經心理學一,張玉玲,南館S217,(四) 9:10~11:20
227 M0050,專題討論,曾祥非,北館視聽,(三) 15:30~15:30
227 M0540,腦與意識專題研究三,謝伯讓,北館N221,(一) 9:10~11:20
227 M1220,實驗設計,徐永豐,北館N206,(三) 9:10~11:20
227 M2360,臨床心理學特論二,陳淑惠,南館S409,(二) 14:20~16:30
227 M2830,高等工商心理學,周婉茹,南館S217,(四) 13:20~15:30
227 M3050,工商心理學專題研究二,熊欣華,南館地下B,(五) 13:20~14:20
227 M3080,工商心理學專題研究四,熊欣華,南館地下B,(五) 15:30~16:30
227 M7150,臨床神經心理學專題研究,張玉玲,南館S217,(五) 13:20~14:20
227 M7820,精神科臨床心理學實習一,陳淑惠,南館S409,(四) 15:30~18:25
227 M7860,臨床健康心理實習一,林耀盛,南館S309,(二) 14:20~17:30
227 M7960,高等心理治療學,林耀盛,南館S217,(一) 14:20~16:30
227 M8710,臨床心理學特論四,林耀盛,南館S409,(一) 18:25~20:15
227 U1790,神經生物與認知科學專題討論一,賴文崧,北館視聽,(一) 17:30~18:25
227 U1850,心理學與社會議題專題研究,李怡青,北館B,(三) 9:10~11:20
227 U2230,社會機器人,岳修平,北館N206,(四) 15:30~17:30
227 U2380,腦與語言,周泰立,北館N221,(五) 9:10~11:20
227 U2520,藝術心理學,陳建中,南館地下B,(二) 14:20~16:30
227 U2730,青少年心理學專題討論,周珮雯,南館S309,(五) 9:10~11:20
227 U3080,自我、情緒與動機專題研究二,葉光輝,南館S217,(五) 10:20~12:20
227 U3120,身心中軸覺察與正念：生活實踐與助人,連韻文,北館N206,(五) 9:10~11:20
227 U3130,行為神經科學專題,葉俊毅,北館N221,(四) 14:20~15:30
227 U3220,心理學專題研究二,葉素玲,南館S217,(一) 9:10~11:20
227 U3230,社會心理學專題研究(二),張仁和,南館S217,(三) 18:25~20:15
227 U3240,鑑識神經科學專題研究二,曾祥非,南館S309,(二) 9:10~11:20
227 U3250,人類大腦神經影像導論,郭柏呈,北館A,(五) 13:20~15:30
227 U4540,生理心理學專題研究五,賴文崧,南館S217,(二) 18:25~20:15
227 U5100,消費者心理學,熊欣華,南館地下A,(二) 14:20~16:30
227 U6010,認知發展,曹峰銘,北館N206,(四) 9:10~11:20
227 U6470,犯罪、毒品與人性,賴文崧,綜合大講堂,(四) 14:20~16:30
227 U9050,視覺專題研究五,陳建中,南館S409,(一) 10:20~12:20
228 M0060,專題討論二,周素卿,地理305,(二) 9:10~11:20
228 M0130,專題討論一,翁  葳,地理一教室,(二) 9:10~11:20
228 M7410,地景、文化與權力,洪伯邑,地理二教室,(三) 14:20~16:30
228 M9660,數值地形分析與水文分析,黃誌川,地理405,(三) 9:10~11:20
228 U2410,運輸地理學,林楨家,地理405,(一) 14:20~16:30
228 U3180,環境史導論,洪廣冀,地理二教室,(四) 14:20~16:30
228 U3290,網際網路地理資訊系統,郭巧玲,地理電腦室,第1+2+3+4+5+6+7+8+9+10+11+12週 (四) 8:10~11:20
228 U3350,社會領域課程概論-地理,黃倬英,地理405,(四) 14:20~15:30
228 U3360,以自然為本的氣候變遷調適,周素卿,地理二教室,(三) 9:10~11:20
228 U3400,時空資料視覺化,溫在弘,地理電腦室,(四) 14:20~16:30
228 U3460,經濟地理學特論：特區研究,徐進鈺,地理405,(二) 14:20~16:30
228 U3570,讀景及實習,林俊全,地理一教室,(一) 18:25~20:15
229 D0030,專題討論,陳正平,大氣B105,(二) 13:20~14:20
229 M1060,動力氣候學,曾開治,大氣A108,(三) 15:30~16:30 (五) 11:20~11:20
229 M8150,資料同化,連國淵,大氣A104,(四) 15:30~17:30
229 M8220,全球大氣環流,黃彥婷,大氣A104,(二) 10:20~11:20 單週 (四) 10:20~11:20
229 M8230,雲動力學,吳健銘,大氣A104,(五) 9:10~11:20
229 M8580,陸地大氣交互作用實作: 以雲霧森林為例,羅敏輝,大氣A104,(三) 10:20~11:20
229 M8600,混沌與可預報度,曾開治,大氣系A100,(一) 13:20~14:20 (四) 15:30~15:30
229 M8700,機器學習雲動力學,吳健銘,大氣A104,(五) 12:20~12:20
229 M8710,氣候變遷與極端事件：深度學習實作,梁禹喬,大氣B105,(三) 12:20~12:20
229 U2040,天氣診斷專題一,楊明仁,大氣A108,(四) 15:30~16:30
229 U3020,大氣物理化學,陳正平,大氣B105,(四) 15:30~16:30 (五) 13:20~13:20
229 U4200,大氣觀測實作,林博雄,大氣A104,(一) 17:30~18:25
229 U5310,生物氣象學,林博雄,大氣A104,(一) 13:20~15:30
229 U5520,大氣遙測,林依依,綜403,(五) 13:20~14:20
229 U5970,大氣環境概論,谷邁世,大氣系A100,(三) 9:10~11:20
229 U6100,去碳化策略,谷邁世,大氣系A100,(二) 10:20~11:20
229 U6110,大學部研究計畫書寫作,谷邁世,大氣系A100,(三) 15:30~16:30
229 U6150,大氣動力學實作,郭鴻基,大氣B105,(三) 8:10~8:10
241 D0470-01,專題討論,張明輝,海研大講堂,(四) 16:30~17:30
241 D0470-02,專題討論,陳韋仁,海研大講堂,(三) 15:30~16:30
241 D0470-03,專題討論,張翠玉,海研大講堂,(四) 8:10~9:10
241 D0470-04,專題討論,簡嘉德,海研232,(二) 17:30~18:25
241 M1142,理論物理海洋下,許哲源,115研討室,(三) 10:20~11:20
241 M2310,海洋化學實習,溫良碩,海研300,(四) 13:20~13:20
241 M2380,化學海洋學,曾鈞懋,海研300,(五) 9:10~11:20
241 M3310,環境放射化學一,蘇志杰,海研300,(三) 13:20~14:20
241 M3420,沿岸海洋學,溫良碩,海研115,(四) 15:30~16:30
241 M3550,魚類生理生態專題研究(二),蕭仁傑,115研討室,(一) 8:10~9:10
241 M3770,海洋科學英文寫作,林卉婷,海研300,(一) 10:20~11:20 (三) 10:20~11:20
241 M3930,計算地震學,柯彥廷,海研231,(三) 9:10~11:20
241 M4040,海洋物理組專題討論,許哲源,海研232,(四) 14:20~15:30
241 M4050-01,海洋生物及漁業組專題討論,鍾明宗,海研大講堂,(三) 10:20~11:20
241 M4050-02,海洋生物及漁業組專題討論,蕭仁傑,海研大講堂,(三) 13:20~14:20
241 M4060-01,海洋地質及地物組專題討論,張翠玉,海研大講堂,(四) 12:20~13:20
241 M4060-02,海洋地質及地物組專題討論,張翠玉,海研大講堂,(四) 10:20~11:20
